Transaction ID,Date - Time,Type,Cashier,Receipt Number,Gratuity,Subtotal,Discount,Tax,Total
428604994,2006-9-19 9:30:00,Walk In,Rachel Dicke,4865,12.03,60.135,15,3.81,65.26
428604995,2006-11-3 16:16:00,Walk In,Rachel Dicke,4867,2.85,23.715,3,1.74,29.94
428604996,2007-1-8 0:04:00,Walk In,Rachel Dicke,4869,5.37,53.685,15,3.255,55.92
428604997,2007-4-14 17:10:00,Walk In,Rachel Dicke,4871,6.33,35.145,9,2.205,37.8
428604998,2008-1-28 14:26:00,Walk In,Rachel Dicke,4873,2.07,20.625,10.5,0.855,14.64
428604999,2008-1-31 12:54:00,Walk In,Rachel Dicke,4875,9.03,56.475,51,0.465,7.92
428605000,2008-5-3 11:00:00,Walk In,Rachel Dicke,4877,7.185,47.895,21,2.265,38.88
428605001,2008-8-28 20:08:00,Walk In,Rachel Dicke,4879,1.725,13.32,3,0.87,14.92
428605002,2009-8-12 19:04:00,Walk In,Rachel Dicke,4881,6.795,45.285,9,3.06,52.46
428605003,2010-7-24 6:40:00,Walk In,Rachel Dicke,4883,0.915,8.265,4.5,0.315,5.44
428605004,2010-9-6 23:20:00,Walk In,Rachel Dicke,4885,8.73,62.325,6,4.74,81.42
428605005,2012-2-17 7:48:00,Walk In,Rachel Dicke,4887,7.665,47.865,16.5,2.64,45.34
428605006,2012-6-9 12:00:00,Walk In,Rachel Dicke,4889,3.96,30.495,13.5,1.425,24.56
428605007,2012-10-10 7:20:00,Walk In,Rachel Dicke,4891,9.195,48.42,16.5,2.685,46.14
428605008,2012-11-27 14:52:00,Walk In,Rachel Dicke,4893,4.62,46.155,16.5,2.505,42.88
428605009,2013-8-15 18:20:00,Walk In,Rachel Dicke,4895,4.215,38.295,12,2.22,38.02
428605010,2013-9-17 11:40:00,Walk In,Rachel Dicke,4897,2.535,25.275,3,1.875,32.2
428605011,2013-10-10 13:48:00,Walk In,Kim Burton,4899,6.645,55.365,49.5,0.495,8.48
428605012,2014-7-31 22:34:00,Walk In,Kim Burton,4901,2.745,13.755,4.5,0.78,13.38
428605013,2014-9-30 12:34:00,Walk In,Kim Burton,4903,6.285,33.06,6,2.28,39.12
428605014,2015-3-11 17:16:00,Walk In,Kim Burton,4905,0.63,5.22,1.5,0.315,5.38
428605015,2015-5-22 11:16:00,Walk In,Kim Burton,4907,5.13,28.5,4.5,2.025,34.7
428605016,2015-8-21 6:32:00,Walk In,Kim Burton,4909,5.22,26.1,4.5,1.815,31.22
428605017,2006-1-19 14:36:00,Walk In,Kim Burton,4911,1.755,15.915,3,1.095,18.68
428605018,2006-2-18 14:54:00,Walk In,Kim Burton,4913,3.915,35.655,7.5,2.37,40.7
428605019,2006-9-19 9:40:00,Walk In,Kim Burton,4915,3.18,22.71,21,0.15,2.48
428605020,2006-11-3 0:44:00,Walk In,Kim Burton,4917,6.75,33.765,10.5,1.965,33.64
428605021,2007-1-8 22:24:00,Walk In,Kim Burton,4919,2.79,18.57,15,0.3,5.16
428605022,2007-4-14 6:30:00,Walk In,Kim Burton,4921,0.39,2.82,0,0.24,4.08
428605023,2008-1-28 11:22:00,Walk In,Kim Burton,4923,7.92,49.5,21,2.4,41.2
428605024,2008-1-31 14:08:00,Walk In,Kim Burton,4925,12.945,68.1,19.5,4.095,70.26
428605025,2008-5-3 16:12:00,Walk In,Kim Burton,4927,0.675,5.58,1.5,0.345,5.9
428605026,2008-8-28 7:02:00,Walk In,Kim Burton,4929,0.735,6.18,0,0.525,8.94
428605027,2009-8-12 1:36:00,Walk In,Kim Burton,4931,7.275,36.375,0,3.06,52.58
428605028,2010-7-24 12:22:00,Walk In,Kim Burton,4933,10.185,59.925,0,5.055,86.64
428605029,2010-9-6 20:04:00,Walk In,Kim Burton,4935,12.705,63.555,0,5.355,91.88
428605030,2012-2-17 15:08:00,Walk In,Kim Burton,4937,1.08,6.375,0,0.54,9.22
428605031,2012-6-9 2:44:00,Walk In,Kim Burton,4939,1.14,7.575,0,0.645,10.96
428605032,2012-10-10 19:52:00,Walk In,Kim Burton,4941,6.75,56.235,0,4.74,81.3
428605033,2012-11-27 17:06:00,Walk In,Kim Burton,4943,7.155,37.65,0,3.18,54.44
428605034,2013-8-15 17:42:00,Walk In,Kim Burton,4945,10.965,57.735,0,4.86,83.46
428605035,2013-9-17 16:08:00,Walk In,Kim Burton,4947,11.55,64.17,0,5.415,92.78
428605036,2013-10-10 23:04:00,Walk In,Kim Burton,4949,1.125,5.625,0,0.48,8.14
428605037,2014-7-31 1:30:00,Walk In,Kim Burton,4951,10.71,66.915,0,5.64,96.74
428605038,2014-9-30 12:24:00,Walk In,Kim Burton,4953,10.47,65.475,0,5.52,94.66
428605039,2015-3-11 19:50:00,Walk In,Kim Burton,4955,7.95,56.835,0,4.785,82.16
428605040,2015-5-22 23:08:00,Walk In,Kim Burton,4957,0.555,3.24,0,0.27,4.68
428605041,2015-8-21 20:42:00,Walk In,Kim Burton,4959,11.82,59.1,0,4.98,85.44
428605042,2006-6-3 18:24:00,Walk In,Kim Burton,4961,9.24,54.315,0,4.575,78.52
428605043,2006-7-30 23:50:00,Walk In,Kim Burton,4963,4.29,32.985,0,2.775,47.68
428605044,2006-11-7 18:28:00,Walk In,Kim Burton,4965,6.375,53.13,0,4.485,76.82
428605045,2008-4-5 6:14:00,Walk In,Kim Burton,4967,5.34,33.375,0,2.82,48.26
428605046,2008-5-3 0:06:00,Walk In,Kim Burton,4969,6.6,47.1,0,3.975,68.1
428605047,2008-9-19 2:12:00,Walk In,Kim Burton,4971,8.535,47.385,0,3.99,68.5
428605048,2008-11-28 22:46:00,Walk In,Kim Burton,4973,6.645,55.365,0,4.665,80.04
428605049,2009-5-29 3:18:00,Walk In,Kim Burton,4975,3.99,23.49,0,1.98,33.96
428605050,2010-6-5 16:24:00,Walk In,Kim Burton,4977,7.605,58.5,0,4.935,84.58
428605051,2011-1-29 18:36:00,Walk In,Kim Burton,4979,2.745,18.3,0,1.545,26.46
428605052,2011-4-28 11:12:00,Walk In,Kim Burton,4981,8.595,66.15,0,5.58,95.64
428605053,2011-10-26 22:04:00,Walk In,Kim Burton,4983,3.885,35.37,0,2.985,51.14
428605054,2011-12-5 9:10:00,Walk In,Kim Burton,4985,2.64,18.84,0,1.59,27.24
428605055,2011-12-8 23:10:00,Walk In,Kim Burton,4987,3.585,21.09,0,1.785,30.5
428605056,2012-2-5 3:02:00,Walk In,Kim Burton,4989,4.095,25.62,0,2.16,37.04
428605057,2012-6-25 6:44:00,Walk In,Kim Burton,4991,4.125,27.525,0,2.325,39.8
428605058,2012-9-30 20:32:00,Walk In,Kim Burton,4993,1.575,8.25,0,0.69,11.92
428605059,2013-1-5 10:58:00,Walk In,Kim Burton,4995,8.835,44.145,0,3.72,63.82
428605060,2013-9-10 18:34:00,Walk In,Kim Burton,4997,4.32,39.255,0,3.315,56.76
428605061,2013-9-26 17:44:00,Walk In,Kim Burton,4999,3.135,15.705,0,1.32,22.7
428605062,2014-6-1 10:44:00,Walk In,Kim Burton,5001,3.285,18.285,0,1.545,26.44
428605063,2014-6-19 19:32:00,Walk In,Kim Burton,5003,1.785,13.695,0,1.155,19.8
428605064,2014-10-15 12:46:00,Walk In,Kim Burton,5005,1.98,17.94,0,1.515,25.94
428605065,2014-11-26 13:54:00,Walk In,Kim Burton,5007,10.56,62.115,0,5.235,89.8
428605066,2015-3-3 14:22:00,Walk In,Kim Burton,5009,4.245,42.375,0,3.57,61.26
428605067,2006-6-9 10:12:00,Walk In,Kim Burton,5011,3.12,15.6,0,1.32,22.56
428605068,2006-11-14 19:40:00,Walk In,Kim Burton,5013,4.44,23.385,0,1.965,33.8
428605069,2007-2-3 22:20:00,Walk In,Kim Burton,5015,10.125,67.47,0,5.685,97.54
428605070,2007-7-12 21:56:00,Walk In,Kim Burton,5017,3.165,31.665,0,2.67,45.78
428605071,2008-1-30 13:16:00,Walk In,Kim Burton,5019,1.47,7.335,0,0.615,10.6
428605072,2008-2-29 23:28:00,Walk In,Kim Burton,5021,1.005,6.675,0,0.57,9.66
428605073,2009-2-10 6:48:00,Walk In,Kim Burton,5023,2.31,17.775,0,1.5,25.7
428605074,2009-7-8 5:32:00,Walk In,Kim Burton,5025,2.52,15.735,0,1.32,22.74
428605075,2009-7-30 7:30:00,Walk In,Kim Burton,5027,9.36,66.9,0,5.64,96.72
428605076,2009-8-13 3:04:00,Walk In,Kim Burton,5029,10.2,63.705,0,5.37,92.1
428605077,2010-2-21 16:22:00,Walk In,Kim Burton,5031,4.53,32.31,0,2.73,46.72
428605078,2010-5-7 0:54:00,Walk In,Kim Burton,5033,9.87,51.975,0,4.38,75.14
428605079,2010-9-28 3:20:00,Walk In,Kim Burton,5035,7.095,47.34,0,3.99,68.44
428605080,2010-11-26 15:24:00,Walk In,Kim Burton,5037,9.66,56.805,0,4.785,82.12
428605081,2010-12-10 11:42:00,Walk In,Kim Burton,5039,1.47,11.25,0,0.945,16.26
428605082,2011-11-18 13:22:00,Walk In,Kim Burton,5041,7.005,53.88,0,4.545,77.9
428605083,2011-11-23 2:30:00,Walk In,Kim Burton,5043,8.325,52.05,0,4.38,75.24
428605084,2012-6-7 22:52:00,Walk In,Kim Burton,5045,12.405,65.31,22.5,3.615,61.9
428605085,2012-9-10 2:32:00,Walk In,Kim Burton,5047,2.325,13.695,4.5,0.78,13.3
428605086,2013-1-2 11:54:00,Walk In,Kim Burton,5049,4.74,31.59,19.5,1.02,17.48
428605087,2013-6-11 16:46:00,Walk In,Kim Burton,5051,3.42,20.16,7.5,1.065,18.3
428605088,2013-8-7 16:06:00,Walk In,Kim Burton,5053,11.43,63.495,18,3.84,65.78
428605089,2014-3-29 10:24:00,Walk In,Kim Burton,5055,4.38,43.755,22.5,1.785,30.72
428605090,2014-6-14 0:18:00,Walk In,Kim Burton,5057,1.545,11.895,3,0.75,12.86
428605091,2014-8-4 17:28:00,Walk In,Kim Burton,5059,9.48,59.295,15,3.735,64.04
428605092,2015-11-8 1:31:00,Walk In,Kim Burton,5061,0,21,10.5,0.885,15.18
428605093,2015-11-8 0:54:00,Walk In,Kim Burton,5063,1.755,9.75,0,0.825,16.44
428605094,2015-11-8 0:31:00,Walk In,Kim Burton,5065,0,7.5,0,0.63,10.84
428605095,2015-11-8 0:27:00,Walk In,Rachel Dicke,5067,1.89,10.5,0,0.885,17.7
428605096,2015-11-8 0:17:00,Walk In,Kim Burton,5069,6.6,33,0,2.79,56.52
428605097,2006-5-3 18:48:00,Walk In,Kim Burton,5071,5.76,52.32,21,2.64,45.28
428605098,2008-1-14 18:48:00,Walk In,Rachel Dicke,5073,1.29,8.1,3,0.435,7.38
428605099,2008-1-17 18:48:00,Walk In,Rachel Dicke,5075,3.105,28.275,0,2.385,40.88
428605100,2009-1-18 18:48:00,Walk In,Rachel Dicke,5077,6.315,31.575,0,2.655,45.64
428605101,2009-5-13 18:48:00,Walk In,Kim Burton,5079,7.965,44.22,0,3.72,63.92
428605102,2009-11-24 18:48:00,Walk In,Kim Burton,5081,2.73,19.5,0,1.65,28.2
428605103,2010-3-28 18:48:00,Walk In,Rachel Dicke,5083,1.44,7.56,0,0.63,10.92
428605104,2010-7-16 18:48:00,Walk In,Kim Burton,5085,2.07,17.31,0,1.455,25.02
428605105,2010-8-15 18:48:00,Walk In,Rachel Dicke,5087,2.37,15.825,0,1.335,22.88
428605106,2010-9-27 18:48:00,Walk In,Rachel Dicke,5089,1.71,12.21,0,1.035,17.66
428605107,2010-10-20 18:48:00,Walk In,Rachel Dicke,5091,1.035,8.595,0,0.72,12.42
428605108,2010-11-23 18:48:00,Walk In,Kim Burton,5093,7.485,53.43,0,4.5,77.24
428605109,2011-5-3 18:48:00,Walk In,Rachel Dicke,5095,7.485,39.36,0,3.315,56.9
428605110,2011-6-24 18:48:00,Walk In,Rachel Dicke,5097,1.26,8.445,1.5,0.585,10.04
428605111,2012-4-28 18:48:00,Walk In,Rachel Dicke,5099,11.115,61.725,10.5,4.32,74.06
428605112,2012-5-10 18:48:00,Walk In,Rachel Dicke,5101,4.71,31.38,4.5,2.265,38.86
428605113,2012-10-30 18:48:00,Walk In,Rachel Dicke,5103,12.405,68.895,15,4.545,77.92
428605114,2012-12-6 18:48:00,Walk In,Rachel Dicke,5105,9.165,48.225,12,3.06,52.38
428605115,2013-3-5 18:48:00,Walk In,Rachel Dicke,5107,8.4,64.605,18,3.93,67.38
428605116,2013-7-27 18:48:00,Walk In,Kim Burton,5109,8.415,49.47,18,2.655,45.5
428605117,2013-11-28 18:48:00,Walk In,Rachel Dicke,5111,0.555,3.225,0,0.27,4.66
428605118,2014-8-10 18:48:00,Walk In,Kim Burton,5113,5.88,58.755,9,4.2,71.94
428605119,2014-9-26 18:48:00,Walk In,Rachel Dicke,5115,4.575,45.705,21,2.085,35.72
428605120,2015-2-12 23:16:00,Walk In,Rachel Dicke,5117,2.805,25.47,9,1.395,23.82
428605121,2015-3-5 23:16:00,Walk In,Rachel Dicke,5119,13.71,68.52,13.5,4.635,79.54
428605122,2006-1-1 23:16:00,Walk In,Rachel Dicke,5121,5.43,38.835,6,2.775,47.48
428605123,2006-3-12 13:04:00,Walk In,Rachel Dicke,5123,0.18,1.575,0,0.135,2.28
428605124,2006-4-9 1:36:00,Walk In,Kim Burton,5125,0,11.385,0,0.96,16.46
428605125,2006-8-18 7:26:00,Walk In,Kim Burton,5127,6.39,53.19,0,4.485,76.9
428605126,2006-12-15 9:04:00,Walk In,Kim Burton,5129,2.685,22.425,0,1.89,32.42
428605127,2007-3-16 11:42:00,Walk In,Kim Burton,5131,3.48,34.755,0,2.925,50.24
428605128,2007-6-26 3:50:00,Walk In,Rachel Dicke,5133,3.465,19.215,0,1.62,27.78
428605129,2008-2-15 11:04:00,Walk In,Kim Burton,5135,8.55,53.46,0,4.5,77.28
428605130,2008-2-23 19:30:00,Walk In,Rachel Dicke,5137,8.61,61.5,0,5.19,88.92
428605131,2008-5-26 2:14:00,Walk In,Kim Burton,5139,4.98,49.74,0,4.185,71.9
428605132,2008-8-27 12:40:00,Walk In,Rachel Dicke,5141,3.825,20.16,0,1.695,29.14
428605133,2008-11-22 18:48:00,Walk In,Kim Burton,5143,2.595,23.625,0,1.995,34.16
428605134,2009-2-8 19:48:00,Walk In,Rachel Dicke,5145,12.435,65.43,0,5.52,94.6
428605135,2009-7-7 18:46:00,Walk In,Rachel Dicke,5147,11.34,59.67,0,5.025,86.26
428605136,2011-12-19 18:06:00,Walk In,Rachel Dicke,5149,10.74,56.505,0,4.77,81.7
428605137,2011-12-20 17:36:00,Walk In,Rachel Dicke,5151,5.745,57.435,0,4.845,83.04
428605138,2012-3-4 2:56:00,Walk In,Rachel Dicke,5153,6,60,0,5.055,86.74
428605139,2012-5-20 5:32:00,Walk In,Kim Burton,5155,12.48,62.415,0,5.265,90.24
428605140,2012-11-19 9:20:00,Walk In,Kim Burton,5157,3.81,27.18,0,2.295,39.3
428605141,2013-5-22 20:30:00,Walk In,Rachel Dicke,5159,5.55,42.72,4.5,3.225,55.26
428605142,2013-11-10 13:18:00,Walk In,Kim Burton,5161,3.225,16.935,4.5,1.05,17.98
428605143,2014-5-5 19:04:00,Walk In,Rachel Dicke,5163,6.18,41.19,28.5,1.065,18.34
428605144,2014-6-11 4:32:00,Walk In,Rachel Dicke,5165,0.81,8.07,3,0.42,7.32
428605145,2014-7-14 8:26:00,Walk In,Kim Burton,5167,1.905,13.62,6,0.645,11.02
428605146,2014-8-12 14:46:00,Walk In,Rachel Dicke,5169,6.18,51.48,10.5,3.45,59.24
428605147,2007-4-20 19:42:00,Walk In,Kim Burton,5171,0.405,1.995,0,0.165,2.88
428605148,2009-3-4 11:38:00,Walk In,Kim Burton,5173,10.62,59.04,19.5,3.33,57.16
428605149,2009-7-31 1:16:00,Walk In,Kim Burton,5175,5.13,30.195,21,0.78,13.3
428605150,2009-11-4 7:54:00,Walk In,Rachel Dicke,5177,7.08,44.295,16.5,2.34,40.18
428605151,2009-12-17 15:28:00,Walk In,Kim Burton,5179,4.875,27.09,0,2.28,39.16
428605152,2010-6-7 22:38:00,Walk In,Kim Burton,5181,9.51,55.965,0,4.71,80.9
428605153,2010-10-10 8:42:00,Walk In,Rachel Dicke,5183,3.825,38.22,0,3.225,55.26
428605154,2011-5-9 7:36:00,Walk In,Kim Burton,5185,7.53,47.07,0,3.96,68.04
428605155,2011-10-27 11:10:00,Walk In,Rachel Dicke,5187,3.465,28.905,0,2.43,41.78
